###############################################################################################
IPv4 route check output
###############################################################################################



IRR - Valid, RPKI - Valid: 866 prefixes
============================================================================================
+-----+-------+--------+------------------+-------------+
|     | irr   | rpki   | prefix           |   origin_as |
|-----+-------+--------+------------------+-------------|
|   0 | Valid | Valid  | 9.9.9.0/24       |       19281 |
|   1 | Valid | Valid  | 27.34.0.0/17     |       17501 |
|   2 | Valid | Valid  | 27.34.0.0/18     |       17501 |
|   3 | Valid | Valid  | 27.34.0.0/21     |       17501 |
|   4 | Valid | Valid  | 27.34.8.0/22     |       17501 |
|   5 | Valid | Valid  | 27.34.12.0/23    |       17501 |
|   6 | Valid | Valid  | 27.34.12.0/24    |       17501 |
|   7 | Valid | Valid  | 27.34.13.0/24    |       17501 |
|   8 | Valid | Valid  | 27.34.14.0/23    |       17501 |
|   9 | Valid | Valid  | 27.34.16.0/24    |       17501 |
|  10 | Valid | Valid  | 27.34.17.0/24    |       17501 |
|  11 | Valid | Valid  | 27.34.18.0/24    |       17501 |
|  12 | Valid | Valid  | 27.34.19.0/24    |       17501 |
|  13 | Valid | Valid  | 27.34.20.0/24    |       17501 |
|  14 | Valid | Valid  | 27.34.21.0/24    |       17501 |
|  15 | Valid | Valid  | 27.34.22.0/24    |       17501 |
|  16 | Valid | Valid  | 27.34.23.0/24    |       17501 |
|  17 | Valid | Valid  | 27.34.24.0/24    |       17501 |
|  18 | Valid | Valid  | 27.34.25.0/24    |       17501 |
|  19 | Valid | Valid  | 27.34.26.0/24    |       17501 |
|  20 | Valid | Valid  | 27.34.27.0/24    |       17501 |
|  21 | Valid | Valid  | 27.34.28.0/24    |       17501 |
|  22 | Valid | Valid  | 27.34.29.0/24    |       17501 |
|  23 | Valid | Valid  | 27.34.30.0/24    |       17501 |
|  24 | Valid | Valid  | 27.34.31.0/24    |       17501 |
|  25 | Valid | Valid  | 27.34.32.0/21    |       17501 |
|  26 | Valid | Valid  | 27.34.36.0/22    |       17501 |
|  27 | Valid | Valid  | 27.34.44.0/24    |       17501 |
|  28 | Valid | Valid  | 27.34.45.0/24    |       17501 |
|  29 | Valid | Valid  | 27.34.46.0/23    |       17501 |
|  30 | Valid | Valid  | 27.34.46.0/24    |       17501 |
|  31 | Valid | Valid  | 27.34.47.0/24    |       17501 |
|  32 | Valid | Valid  | 27.34.48.0/24    |       17501 |
|  33 | Valid | Valid  | 27.34.49.0/24    |       17501 |
|  34 | Valid | Valid  | 27.34.50.0/24    |       17501 |
|  35 | Valid | Valid  | 27.34.52.0/22    |       17501 |
|  36 | Valid | Valid  | 27.34.56.0/21    |       17501 |
|  37 | Valid | Valid  | 27.34.64.0/18    |       17501 |
|  38 | Valid | Valid  | 27.34.64.0/22    |       17501 |
|  39 | Valid | Valid  | 27.34.68.0/24    |       17501 |
|  40 | Valid | Valid  | 27.34.69.0/24    |       17501 |
|  41 | Valid | Valid  | 27.34.70.0/24    |       17501 |
|  42 | Valid | Valid  | 27.34.71.0/24    |       17501 |
|  43 | Valid | Valid  | 27.34.72.0/21    |       17501 |
|  44 | Valid | Valid  | 27.34.80.0/20    |       17501 |
|  45 | Valid | Valid  | 27.34.80.0/21    |       17501 |
|  46 | Valid | Valid  | 27.34.88.0/22    |       17501 |
|  47 | Valid | Valid  | 27.34.104.0/24   |       17501 |
|  48 | Valid | Valid  | 27.34.105.0/24   |       17501 |
|  49 | Valid | Valid  | 27.34.108.0/24   |       17501 |
|  50 | Valid | Valid  | 27.34.109.0/24   |       17501 |
|  51 | Valid | Valid  | 27.34.110.0/23   |       17501 |
|  52 | Valid | Valid  | 27.34.110.0/24   |       17501 |
|  53 | Valid | Valid  | 27.34.112.0/22   |       17501 |
|  54 | Valid | Valid  | 27.34.112.0/24   |       17501 |
|  55 | Valid | Valid  | 27.34.113.0/24   |       17501 |
|  56 | Valid | Valid  | 27.34.114.0/24   |       17501 |
|  57 | Valid | Valid  | 27.34.115.0/24   |       17501 |
|  58 | Valid | Valid  | 27.34.116.0/24   |       17501 |
|  59 | Valid | Valid  | 27.34.117.0/24   |       17501 |
|  60 | Valid | Valid  | 27.34.118.0/24   |       17501 |
|  61 | Valid | Valid  | 27.34.119.0/24   |       17501 |
|  62 | Valid | Valid  | 27.34.120.0/24   |       17501 |
|  63 | Valid | Valid  | 27.34.121.0/24   |       17501 |
|  64 | Valid | Valid  | 27.34.122.0/23   |       17501 |
|  65 | Valid | Valid  | 27.34.124.0/22   |       17501 |
|  66 | Valid | Valid  | 27.111.16.0/24   |        4613 |
|  67 | Valid | Valid  | 27.111.17.0/24   |        4613 |
