BGP table version is 0, local router ID is 66.96.119.68
Status codes: s suppressed, d damped, h history, * valid, > best, i - internal,
              r RIB-failure, S Stale, R Removed
Origin codes: i - IGP, e - EGP, ? - incomplete

   Network          Next Hop            Metric LocPrf Weight Path
*> 9.9.9.0/24       196.223.20.100           0             0 42 19281 i
*> 41.78.108.0/22   196.223.20.40            0             0 37211 i
*> 41.78.108.0/23   196.223.20.40            0             0 37211 i
*> 41.78.108.0/24   196.223.20.40            0             0 37211 i
*> 41.78.109.0/24   196.223.20.40            0             0 37211 i
*> 41.78.110.0/23   196.223.20.40            0             0 37211 i
*> 41.78.110.0/24   196.223.20.40            0             0 37211 i
*> 41.78.111.0/24   196.223.20.40            0             0 37211 i
*> 41.95.0.0/17     196.223.20.32            0             0 36998 ?
*> 41.95.0.0/18     196.223.20.32            0             0 36998 ?
*> 41.95.0.0/20     196.223.20.32            0             0 36998 ?
*> 41.95.16.0/20    196.223.20.32            0             0 36998 ?
*> 41.95.32.0/19    196.223.20.32            0             0 36998 ?
*> 41.95.64.0/18    196.223.20.28            0             0 36998 ?
*> 41.95.64.0/19    196.223.20.28            0             0 36998 ?
*> 41.95.64.0/20    196.223.20.28            0             0 36998 ?
*> 41.95.80.0/20    196.223.20.28            0             0 36998 ?
*> 41.95.80.0/21    196.223.20.28            0             0 36998 ?
*> 41.95.96.0/19    196.223.20.28            0             0 36998 ?
*> 41.95.96.0/20    196.223.20.28            0             0 36998 ?
*> 41.95.96.0/21    196.223.20.28            0             0 36998 ?
*> 41.95.104.0/21   196.223.20.28            0             0 36998 ?
*> 41.95.112.0/20   196.223.20.28            0             0 36998 ?
*> 41.95.112.0/21   196.223.20.28            0             0 36998 ?
*> 41.95.120.0/21   196.223.20.28            0             0 36998 ?
*> 41.95.120.0/22   196.223.20.28            0             0 36998 ?
*> 41.95.124.0/22   196.223.20.28            0             0 36998 ?
*> 41.95.192.0/24   196.223.20.28            0             0 36998 i
*> 41.95.194.0/24   196.223.20.21            0             0 15706 ?
*> 41.95.196.0/24   196.223.20.28            0             0 36998 36998 36998 36998 36998 36998 36998 36998 36998 ?
*> 41.95.197.0/24   196.223.20.21            0             0 15706 ?
*> 41.95.198.0/24   196.223.20.28            0             0 36998 ?
*> 41.95.245.0/24   196.223.20.32            0             0 36998 i
*> 41.95.246.0/24   196.223.20.21            0             0 15706 ?
*> 41.95.247.0/24   196.223.20.28            0             0 36998 ?
*> 41.95.248.0/22   196.223.20.32            0             0 36998 ?
*> 41.95.248.0/23   196.223.20.32            0             0 36998 ?
*> 41.95.248.0/24   196.223.20.32            0             0 36998 ?
*> 41.95.249.0/24   196.223.20.32            0             0 36998 ?
*> 41.95.250.0/23   196.223.20.32            0             0 36998 ?
*> 41.95.250.0/24   196.223.20.32            0             0 36998 ?
*> 41.95.251.0/24   196.223.20.32            0             0 36998 ?
*> 41.95.252.0/23   196.223.20.28            0             0 36998 36998 36998 36998 36998 36998 36998 36998 36998 ?
*> 41.95.252.0/24   196.223.20.28            0             0 36998 ?
*> 41.95.254.0/23   196.223.20.28            0             0 36998 36998 36998 36998 36998 36998 36998 36998 36998 ?
*> 41.95.254.0/24   196.223.20.28            0             0 36998 i
*> 41.95.255.0/24   196.223.20.28            0             0 36998 ?
*> 41.202.160.0/19  196.223.20.24            0             0 33788 i
*> 41.202.160.0/24  196.223.20.24            0             0 33788 i
*> 41.202.161.0/24  196.223.20.24            0             0 33788 i
*> 41.202.162.0/24  196.223.20.24            0             0 33788 i
*> 41.202.163.0/24  196.223.20.24            0             0 33788 i
*> 41.202.166.0/24  196.223.20.24            0             0 33788 i
*> 41.202.167.0/24  196.223.20.24            0             0 33788 i
*> 41.202.168.0/24  196.223.20.24            0             0 33788 i
*> 41.202.169.0/24  196.223.20.24            0             0 33788 i
*> 41.202.170.0/24  196.223.20.24            0             0 33788 i
*> 41.202.171.0/24  196.223.20.24            0             0 33788 i
*> 41.202.172.0/22  196.223.20.24            0             0 33788 i
*> 41.202.173.0/24  196.223.20.24            0             0 33788 i
*> 41.202.174.0/24  196.223.20.24            0             0 33788 i
*> 41.209.64.0/18   196.223.20.21            0             0 15706 ?
*> 41.209.64.0/19   196.223.20.20            0             0 15706 ?
*> 41.209.64.0/20   196.223.20.20            0             0 15706 ?
*> 41.209.64.0/22   196.223.20.20            0             0 15706 ?
*> 41.209.64.0/24   196.223.20.20            0             0 15706 ?
*> 41.209.65.0/24   196.223.20.20            0             0 15706 ?
*> 41.209.66.0/24   196.223.20.20            0             0 15706 ?
*> 41.209.67.0/24   196.223.20.20            0             0 15706 ?
*> 41.209.68.0/22   196.223.20.20            0             0 15706 ?
*> 41.209.68.0/24   196.223.20.20            0             0 15706 ?
*> 41.209.69.0/24   196.223.20.20            0             0 15706 ?
*> 41.209.70.0/24   196.223.20.20            0             0 15706 ?
*> 41.209.71.0/24   196.223.20.20            0             0 15706 ?
*> 41.209.72.0/22   196.223.20.20            0             0 15706 ?
*> 41.209.72.0/24   196.223.20.20            0             0 15706 ?
*> 41.209.73.0/24   196.223.20.20            0             0 15706 ?
*> 41.209.74.0/24   196.223.20.20            0             0 15706 ?
*> 41.209.75.0/24   196.223.20.20            0             0 15706 ?
*> 41.209.76.0/22   196.223.20.20            0             0 15706 ?
*> 41.209.76.0/24   196.223.20.20            0             0 15706 ?
*> 41.209.77.0/24   196.223.20.20            0             0 15706 ?
*> 41.209.78.0/24   196.223.20.20            0             0 15706 ?
*> 41.209.79.0/24   196.223.20.20            0             0 15706 ?
*> 41.209.80.0/20   196.223.20.20            0             0 15706 ?
*> 41.209.80.0/22   196.223.20.20            0             0 15706 ?
*> 41.209.80.0/24   196.223.20.20            0             0 15706 ?
*> 41.209.81.0/24   196.223.20.20            0             0 15706 ?
*> 41.209.82.0/24   196.223.20.20            0             0 15706 ?
*> 41.209.88.0/24   196.223.20.20            0             0 15706 ?
*> 41.209.89.0/24   196.223.20.20            0             0 15706 ?
*> 41.209.90.0/24   196.223.20.20            0             0 15706 ?
*> 41.209.91.0/24   196.223.20.20            0             0 15706 ?
*> 41.209.92.0/24   196.223.20.20            0             0 15706 ?
*> 41.209.93.0/24   196.223.20.20            0             0 15706 ?
*> 41.209.94.0/24   196.223.20.20            0             0 15706 ?
*> 41.209.95.0/24   196.223.20.20            0             0 15706 ?
*> 41.209.96.0/19   196.223.20.20            0             0 15706 ?
*> 41.209.96.0/20   196.223.20.20            0             0 15706 ?
*> 41.209.96.0/22   196.223.20.20            0             0 15706 ?
*> 41.209.96.0/24   196.223.20.20            0             0 15706 ?
*> 41.209.97.0/24   196.223.20.20            0             0 15706 ?
*> 41.209.98.0/24   196.223.20.20            0             0 15706 ?
*> 41.209.99.0/24   196.223.20.20            0             0 15706 ?
*> 41.209.100.0/22  196.223.20.20            0             0 15706 ?
*> 41.209.100.0/24  196.223.20.20            0             0 15706 ?
*> 41.209.101.0/24  196.223.20.20            0             0 15706 ?
*> 41.209.102.0/24  196.223.20.20            0             0 15706 ?
*> 41.209.103.0/24  196.223.20.20            0             0 15706 ?
*> 41.209.104.0/22  196.223.20.20            0             0 15706 ?
*> 41.209.104.0/24  196.223.20.20            0             0 15706 ?
*> 41.209.106.0/24  196.223.20.20            0             0 15706 ?
*> 41.209.107.0/24  196.223.20.20            0             0 15706 ?
*> 41.209.108.0/22  196.223.20.20            0             0 15706 ?
*> 41.209.108.0/24  196.223.20.20            0             0 15706 ?
*> 41.209.109.0/24  196.223.20.20            0             0 15706 ?
*> 41.209.110.0/24  196.223.20.20            0             0 15706 ?
*> 41.209.111.0/24  196.223.20.20            0             0 15706 ?
*> 41.209.112.0/20  196.223.20.20            0             0 15706 ?
*> 41.209.112.0/22  196.223.20.20            0             0 15706 ?
*> 41.209.112.0/24  196.223.20.20            0             0 15706 ?
*> 41.209.113.0/24  196.223.20.20            0             0 15706 ?
*> 41.209.114.0/24  196.223.20.20            0             0 15706 ?
*> 41.209.115.0/24  196.223.20.20            0             0 15706 ?
*> 41.209.116.0/22  196.223.20.20            0             0 15706 ?
*> 41.209.116.0/24  196.223.20.20            0             0 15706 ?
*> 41.209.117.0/24  196.223.20.20            0             0 15706 ?
*> 41.209.118.0/24  196.223.20.20            0             0 15706 ?
*> 41.209.119.0/24  196.223.20.20            0             0 15706 ?
*> 41.209.120.0/22  196.223.20.20            0             0 15706 ?
*> 41.209.120.0/24  196.223.20.20            0             0 15706 ?
*> 41.209.121.0/24  196.223.20.20            0             0 15706 ?
*> 41.209.122.0/24  196.223.20.20            0             0 15706 ?
*> 41.209.123.0/24  196.223.20.20            0             0 15706 ?
*> 41.209.124.0/22  196.223.20.20            0             0 15706 ?
*> 41.209.124.0/24  196.223.20.20            0             0 15706 ?
*> 41.209.125.0/24  196.223.20.20            0             0 15706 ?
*> 41.209.126.0/24  196.223.20.20            0             0 15706 ?
*> 41.209.127.0/24  196.223.20.20            0             0 15706 ?
*> 41.223.160.0/23  196.223.20.36            0             0 36972 ?
*> 41.223.160.0/24  196.223.20.36            0             0 36972 ?
*> 41.223.161.0/24  196.223.20.36            0             0 36972 ?
*> 41.223.162.0/23  196.223.20.36            0             0 36972 ?
*> 41.223.162.0/24  196.223.20.36            0             0 36972 ?
*> 41.223.163.0/24  196.223.20.36            0             0 36972 ?
*> 41.223.200.0/22  196.223.20.32            0             0 36998 ?
*> 41.223.201.0/24  196.223.20.32            0             0 36998 ?
*> 41.223.202.0/23  196.223.20.28            0             0 36998 ?
*> 41.223.202.0/24  196.223.20.32            0             0 36998 ?
*> 41.223.203.0/24  196.223.20.28            0             0 36998 ?
*> 41.240.0.0/15    196.223.20.28            0             0 36998 ?
*> 41.240.0.0/16    196.223.20.28            0             0 36998 ?
*> 41.240.0.0/18    196.223.20.28            0             0 36998 ?
*> 41.240.64.0/18   196.223.20.28            0             0 36998 ?
*> 41.240.128.0/18  196.223.20.28            0             0 36998 ?
*> 41.240.192.0/18  196.223.20.28            0             0 36998 ?
*> 41.241.0.0/16    196.223.20.28            0             0 36998 ?
